"","HHINCOME","DENSITY","PROPTX99","RENT","farm","ownership","acreage","se.HHINCOME","se.DENSITY","se.PROPTX99","se.RENT","se.farm","se.ownership","se.acreage","AGE","sex","race","hisp","hs","ba","employed","se.AGE","se.sex","se.race","se.hisp","se.hs","se.ba","se.employed","treated","PUMA00","distance","weights","subclass"
"50",108779.891840265,3853.7,43.6862597886414,67.3277009047366,0,0.921462784155706,0,2787.98777665118,0,0.717366690502242,8.68262747281597,0,0.0100265121922856,0,44.3719248361973,0.562368648782297,0.78192607244406,0.135539003585116,0.917774137717889,0.383468290270738,0.962433551736927,0.528114263983154,0.0226594948545886,0.0217939363410342,0.0191800274441926,0.0160565310342075,0.0218414195075782,0.00837751468860363,0,2507,0.0224469233944565,0.354545454545455,2
"51",80684.9845003454,2123.6,39.1141870199537,88.4110212541147,0.00263339700085342,0.879302637460885,0.00481976673304344,2192.69614619778,0,0.736601025990942,9.16029193113063,0.00131641401839313,0.0110400150713878,0.00246699596552067,42.7151710072168,0.532663947285849,0.628333856291183,0.178224035142767,0.86568873548792,0.325384374019454,0.951443363664889,0.500744321427991,0.0235821935328762,0.0235208667661942,0.0202176536010969,0.0180819323052587,0.0216966743909324,0.0101254481588015,0,2508,0.0416385036192111,0.253246753246753,6
"62",55322.8396152944,1334.7,14.8040628665259,62.6344827586207,0.00602392681210415,0.859404175463289,0.0239080459770115,1446.60068512298,0,0.413723790495171,7.34394418296211,0.00229483862381375,0.0134174524175588,0.00580246489283372,44.0002406980243,0.545903119045231,0.82828201785177,0.461799217731421,0.715414702637649,0.136836826797713,0.957075519005115,0.61372476007322,0.0270444681310665,0.018826865825946,0.0276309096682452,0.0266051617072377,0.0168483716251047,0.0103020560940218,0,3300,0.0553886407435006,0.253246753246753,6
"84",48078.3593338193,5409.6,12.5345146638255,149.737284809062,0.00176638815678798,0.661119834015589,0,1404.05141699095,0,0.565618351217541,10.410771971871,0.00124955572564185,0.0199304700663668,0,42.5564795263078,0.653177177438666,0.483684176154298,0.712127478938546,0.549404619370007,0.11537540544659,0.90502209547859,0.683041752544145,0.0275979010093399,0.0302632833436279,0.0277832082647061,0.0300915911018414,0.0170655313429679,0.0188333863451082,0,4601,0.137744494428706,0.886363636363636,4
"85",40037.7488381993,4448.3,13.7602344886303,137.817499733939,0,0.694978537727482,0,1062.49617774082,0,0.48460075004969,8.93165423981273,0,0.0161954210934116,0,42.1768061664417,0.581282933414624,0.324260767321343,0.564168444889605,0.608522405609023,0.0727039149936855,0.921721900448548,0.623297916625328,0.027702240968396,0.0269528286015505,0.0281734702663464,0.028508679237498,0.015618012187458,0.0160515198792197,0,4602,0.114633826728573,0.253246753246753,6
"87",194635.065490801,9478.1,52.254194397348,137.271807070375,0,0.852645696788724,0,8214.11824158373,0,1.61500952031266,26.8162199979937,0,0.0241408826196206,0,41.4366541973815,0.625921443503136,0.689941137638904,0.297763780393883,0.852816591484212,0.502351743866212,0.958232478820552,0.587181858526065,0.023653534692774,0.0237642503385833,0.0244863647590301,0.0191797862625234,0.0248831087791894,0.0104303480284528,0,4604,0.238302263311783,0.506493506493506,5
"88",111240.065074606,5298.7,35.8805088123668,125.249640399979,0,0.849869157582795,0,6687.39030315461,0,1.14935578696001,16.2395938538796,0,0.0175614375834169,0,42.7948200470905,0.604404553260042,0.766123178784499,0.506169561137961,0.690937737886593,0.245879582912883,0.956326234354807,0.688279605820255,0.0286187146570677,0.0252520841509719,0.0298265398303884,0.0301407678310506,0.0217565183767108,0.00955442921973807,0,4605,0.478711408009976,3.54545454545455,3
"89",60865.2795035696,4520.8,23.3668697777161,124.066631806977,0.0040124214323064,0.756533523994494,0.00313737207738851,2410.82969270572,0,0.715970042476816,10.6275836127743,0.00200493477822547,0.0170025133792458,0.00221573992643828,42.6154142738286,0.555327827269222,0.496945960754074,0.458389983562978,0.704032143509406,0.216400495139918,0.917327867854461,0.594929630793284,0.0275954410512035,0.0279893382450525,0.028379890851245,0.026252797113946,0.0218555736230762,0.0160463588790062,0,4606,0.110098106805419,0.253246753246753,6
"90",103088.896539593,5396.6,32.655318536523,178.194639887425,0,0.728508379173596,0.00409364206217219,4769.58862634252,0,1.33608925690743,17.7523494616481,0,0.021750645108502,0.00211000579055647,41.7393782227181,0.534013810572023,0.484229412296837,0.173506618822181,0.909929740976389,0.579923408618038,0.951361457045503,0.545733159671377,0.0234745652296233,0.0235269286951428,0.0201683917260325,0.0144787959604059,0.0236309070198355,0.0109010373138585,0,4607,0.0286363074020808,0.354545454545455,2
"91",57279.8859543238,3145.7,19.0513640094636,167.238066727826,0,0.729728163777703,0.00699145381681232,1834.83134867289,0,0.685082804979764,12.7960765627184,0,0.0173368672196491,0.0024959278309461,43.1471368135538,0.51832884642633,0.252919863166204,0.266947351375423,0.721332712588304,0.184037406635225,0.920328724976216,0.65503704586608,0.0289371596333214,0.0235375190761713,0.0251194385113738,0.0263262874493995,0.0213068895650934,0.0158930626075433,0,4608,0.138460770758639,0.886363636363636,4
"92",92491.4903245772,7233,32.1769792292429,128.327599075237,0,0.828263521016511,0,4883.97007539859,0,1.17850961339124,17.3635439072272,0,0.020940492722124,0,44.154676931126,0.56267050338204,0.42152173100639,0.33519563511342,0.814903396987929,0.291957845958369,0.906722971710453,0.658203598842092,0.0292920061972069,0.0289438810724813,0.0295364747176078,0.0249669960991632,0.0256305006886329,0.0193784836718778,0,4609,0.0444721721991141,0.253246753246753,6
"94",51657.6940478526,4546.6,20.492503549128,118.908253598181,0,0.773086644890987,0,1272.83357335483,0,0.638973780725413,10.5981309423822,0,0.0165883046651253,0,41.4571935157042,0.593465045592705,0.462980282129218,0.680753643519601,0.608156028368794,0.0801379471592238,0.907099992206375,0.642459497400614,0.0277535541729407,0.0286417166310418,0.0264638338249029,0.0280348292057584,0.0135632437674355,0.0165367096576158,0,4611,0.312354223081328,0.506493506493506,5
"95",102516.545402928,5014.4,40.4226386016141,108.06910816401,0,0.907369104108367,0.00305525138229847,3616.99077097652,0,0.998660522713153,15.9509112536039,0,0.0126495710974505,0.00215884388320756,43.5998555934495,0.508464681844717,0.601745168525517,0.274602881986051,0.857098964574308,0.419270593295849,0.951439456785572,0.571762889474415,0.0253762980039618,0.0252507787833599,0.0243604968623025,0.0205142985100787,0.0244925657396099,0.0116291377276982,0,4612,0.332133750650924,0.506493506493506,5
"96",96438.3814228627,9262.5,32.2562222711683,109.613605613417,0,0.791038670903999,0,7220.81864132072,0,1.54587978613882,16.2640421528934,0,0.0270929067380356,0,41.0704316119732,0.636004409395404,0.59352158059866,0.436224879165607,0.688679725260748,0.266700585092852,0.929008733994743,0.647575311910767,0.0264871541033036,0.0280783755274016,0.0286066254439188,0.0274592793716797,0.0223982946609791,0.0162426732068373,0,4613,0.423270677332262,1.77272727272727,7
