PUMA,HHINCOME,DENSITY,PROPTX99,RENT,farm,ownership,acreage,se.HHINCOME,se.DENSITY,se.PROPTX99,se.RENT,se.farm,se.ownership,se.acreage,AGE,sex,race,hisp,hs,ba,employed,se.AGE,se.sex,se.race,se.hisp,se.hs,se.ba,se.employed,treated,PScores,distance,weights,subclass
1100,58709.54507,204.1,15.57838835,104.0470729,0.016824574,0.763209335,0.083295103,1874.917084,0,0.531603804,9.95803616,0.003916097,0.016592227,0.008779976,44.27929675,0.49821869,0.76891456,0.0527858,0.890697135,0.198558088,0.95648966,0.660243148,0.028027846,0.026056482,0.014797777,0.018382589,0.019283959,0.009349206,0,4.20E-08,4.20E-08,0.076033058,7
1200,52965.84471,81.5,17.06953789,72.04801978,0.054819041,0.789023315,0.150890793,1163.27385,0,0.487056963,5.961738282,0.006922019,0.015129997,0.009565046,42.90746787,0.558398385,0.899587427,0.059956665,0.863524383,0.144044404,0.931984803,0.606916712,0.02480632,0.015803668,0.011708362,0.015865804,0.01555262,0.016884122,0,1.62E-10,1.62E-10,0.076033058,7
1300,63553.17716,434,18.79226359,77.98633795,0.01194752,0.819316626,0.047613884,1423.143792,0,0.447829673,6.658019455,0.002553583,0.011947649,0.005623644,44.05730977,0.545886119,0.754015377,0.100008209,0.884764823,0.229991518,0.926888664,0.551804974,0.022310159,0.019534784,0.013787765,0.014532358,0.017800574,0.013272678,0,3.22E-05,3.22E-05,0.076033058,7
1400,66286.49146,521.3,22.96291025,92.41028141,0.017787743,0.812855007,0.063963086,1991.081548,0,0.556162307,6.666348956,0.003910891,0.011950177,0.007785127,43.77590295,0.532837375,0.7355572,0.146127887,0.863883278,0.267002045,0.939393559,0.553709918,0.021575418,0.019473437,0.015440637,0.014640301,0.018573073,0.012741855,0,4.80E-06,4.80E-06,0.076033058,7
1500,56357.64391,96.9,15.25585129,59.98967841,0.027877861,0.770248961,0.144922827,1835.408607,0,0.504910809,5.989500171,0.004960766,0.018038287,0.012842362,44.27641078,0.547182708,0.788329275,0.092079969,0.869964544,0.169785125,0.947904652,0.684359741,0.028686595,0.026512176,0.019810234,0.022455227,0.019686009,0.014698922,0,1.25E-13,1.25E-13,0.076033058,7
1600,46662.41596,39.8,10.06274183,58.54386174,0.037135147,0.775085819,0.197104986,1530.344676,0,0.439478363,6.104523957,0.008693969,0.018558487,0.015649088,45.12021355,0.530375552,0.814222596,0.037923417,0.857116558,0.178150642,0.957079739,0.849990593,0.033165195,0.025749286,0.010540493,0.023084362,0.023512689,0.011353752,0,2.22E-16,2.22E-16,0.076033058,7
1700,54475.05531,245.1,14.94333333,98.20309524,0.014022109,0.73755102,0.070187075,1582.544078,0,0.547572455,7.344259349,0.003096281,0.017285653,0.007758775,43.33624317,0.576220925,0.771012881,0.13411176,0.827875081,0.231396534,0.957853767,0.671538561,0.027207223,0.023693266,0.019945729,0.022567755,0.022261636,0.010209638,0,4.83E-07,4.83E-07,0.076033058,7
1800,54570.46054,154.4,15.91770792,91.49912857,0.028494232,0.773982645,0.159530813,1679.69392,0,0.547388564,6.827386462,0.004703624,0.014809061,0.012496792,43.41833427,0.557029866,0.851903877,0.09279509,0.865215888,0.147620694,0.946773566,0.665853424,0.027059671,0.020620594,0.016517281,0.018821949,0.018809646,0.015533847,0,2.22E-16,2.22E-16,0.076033058,7
1900,61196.57305,73.6,18.11479711,59.16828164,0.059154572,0.813091863,0.170168832,1784.053133,0,0.504907785,4.556159897,0.006552317,0.012005821,0.010977607,44.76597186,0.523640868,0.799744528,0.140045288,0.827459405,0.192281639,0.96177592,0.596760294,0.023203652,0.018983625,0.01689855,0.017842374,0.017110472,0.011197393,0,7.57E-11,7.57E-11,0.076033058,7
2000,81198.29621,387.9,34.52256131,101.0617976,0.021591119,0.845283071,0.060645745,2074.472169,0,0.687089741,9.722891974,0.004326477,0.012733359,0.006923308,42.61529732,0.549638194,0.863675202,0.125684227,0.895009479,0.238177886,0.961509706,0.518090667,0.022324062,0.01591693,0.0151623,0.01310555,0.016820618,0.008598296,0,1.94E-05,1.94E-05,0.076033058,7
2101,109212.538,1428.1,44.95765342,103.3056037,0.011445475,0.892679723,0.028049554,2617.923328,0,0.600560681,9.894267698,0.002841379,0.008788442,0.003839486,41.29777192,0.542414966,0.817792394,0.147236938,0.919956026,0.436697404,0.967853521,0.443263418,0.018748033,0.015614849,0.016068412,0.01287207,0.018555401,0.006806284,0,0.010678521,0.010678521,0.076033058,7
2102,113709.7435,2343.8,48.29082706,70.65424707,0.002512346,0.923828676,0.020801761,2355.569015,0,0.576911371,7.598095291,0.001088799,0.007887176,0.00479152,41.65654201,0.549863838,0.775403592,0.083050033,0.946478472,0.511346849,0.965078404,0.42534514,0.01883794,0.01646457,0.011240619,0.010603042,0.018960323,0.007130556,0,0.006556257,0.006556257,0.076033058,7
2103,152181.1493,4381.7,57.17659846,55.01206123,0,0.960358443,0.003439515,3960.593871,0,0.560831295,12.35741119,0,0.007890063,0.001537429,43.17257545,0.541631094,0.70444095,0.055328391,0.989590354,0.672642852,0.971302329,0.483293675,0.022505814,0.021742131,0.011201225,0.004017793,0.02210503,0.006715861,0,0.142113418,0.142113418,3.066666667,11
2104,90493.58828,3922.1,38.84106346,142.0117409,0.002352418,0.862404764,0,2404.451609,0,0.77848651,17.42160613,0.001358417,0.014410633,0,42.92128793,0.564636796,0.786573329,0.22638223,0.834148931,0.42507838,0.945473848,0.599881827,0.025034916,0.020446291,0.024977582,0.023546872,0.024513408,0.011630806,0,0.536304011,0.536304011,18.4,9
2201,113224.8835,2791.8,45.99211167,86.19421467,0.000879724,0.914174811,0.002981055,2046.67903,0,0.504730649,7.422067713,0.000364783,0.007007095,0.000989955,42.26352915,0.54743989,0.793598597,0.123708017,0.934722195,0.461709577,0.953311282,0.361338655,0.016035515,0.014150182,0.012341816,0.009366249,0.016167711,0.00879969,0,0.08783314,0.08783314,0.076033058,7
2202,86677.82504,1484.4,37.25348609,141.2591643,0.014215723,0.833250421,0.026888772,1555.108381,0,0.604679748,10.5466371,0.003242029,0.010315045,0.003928125,41.43957224,0.552115438,0.832866349,0.176940319,0.91776408,0.368489462,0.954188848,0.409720186,0.016838032,0.013209631,0.015149444,0.010422928,0.015887161,0.007990883,0,0.002697689,0.002697689,0.076033058,7
2301,56524.16702,2739.4,17.78453831,130.4758121,0,0.73938471,0,3073.642812,0,1.008360352,13.69010407,0,0.02418439,0,41.77187054,0.594177868,0.519961953,0.421541388,0.603113814,0.176090711,0.901904833,0.758827801,0.031182883,0.032186192,0.033201146,0.03291201,0.022825063,0.018260274,1,0.775104617,0.775104617,1,1
2302,99632.76019,7661.7,31.30961115,233.4407295,0,0.68594487,0,5792.814257,0,1.426065553,22.57471728,0,0.025521536,0,39.77201641,0.65439874,0.660757271,0.373336563,0.735242911,0.406930798,0.927421919,0.491579248,0.022546817,0.02449211,0.025975367,0.024963429,0.023665695,0.013802879,1,0.070984217,0.070984217,1,7
2303,45073.44895,3705.5,19.19854693,125.0320275,0,0.788358077,0.020604894,1589.553672,0,0.610954505,9.937564822,0,0.015580254,0.005807293,40.97226933,0.605353802,0.498522546,0.632437536,0.521619779,0.064151207,0.920077632,0.588005711,0.02760575,0.02926169,0.027008997,0.029408321,0.01268748,0.014235255,1,0.289785853,0.289785853,1,8
2304,138086.3428,6073.9,43.6184166,79.80306621,0,0.896300237,0,4797.834805,0,0.795275371,10.07764555,0,0.010926631,0,42.94996266,0.580358476,0.711874533,0.260853871,0.83871048,0.431839681,0.958551158,0.473889732,0.021721926,0.020997639,0.021157129,0.019121187,0.021544577,0.007841012,1,0.550494295,0.550494295,1,9
2305,111935.465,4827.2,43.21124171,88.07779161,0,0.91222026,0,3334.870321,0,0.893263426,15.9517518,0,0.013545659,0,44.37476251,0.528427619,0.747171416,0.230526017,0.882191975,0.489437119,0.959208847,0.619750664,0.02430266,0.02251889,0.024350438,0.019727463,0.024339427,0.009814498,1,0.232159404,0.232159404,1,10
2306,144370.0314,5704.8,46.5513652,71.50633134,0,0.905931235,0,4972.208255,0,0.896930856,11.31759039,0,0.012511271,0,43.53263071,0.604611112,0.585436552,0.368682765,0.800856245,0.424084024,0.964149273,0.565281123,0.021455577,0.023235271,0.023588651,0.019985668,0.021356458,0.008616777,1,0.547114805,0.547114805,1,9
