"","PUMA","HHINCOME","DENSITY","PROPTX99","RENT","farm","ownership","acreage","se.HHINCOME","se.DENSITY","se.PROPTX99","se.RENT","se.farm","se.ownership","se.acreage","AGE","sex","race","hisp","hs","ba","employed","se.AGE","se.sex","se.race","se.hisp","se.hs","se.ba","se.employed","treated","PScores","distance","weights","subclass"
"11",1000,57064.2636100728,109.9,17.9675188825819,68.3441014044641,0.0392188533542542,0.783223345178212,0.164243850662236,1458.66968062944,0,0.502376374387448,5.48849738699402,0.00533552416739174,0.011990059539232,0.0105236169421456,44.531598631336,0.536993713694597,0.831001830190181,0.108426832179518,0.821357523673112,0.184101217474338,0.931455399061033,0.519686577378736,0.0217079703225798,0.0176508169922195,0.0137196821698348,0.016666582403864,0.0168823030814515,0.0130609817070836,0,2.22044604925031e-16,NA,0.0741935483870968,7
"12",1100,58709.5450683156,204.1,15.5783883514511,104.047072903161,0.0168245736511419,0.763209334796051,0.0832951032213025,1874.91708350057,0,0.531603803722981,9.95803616042205,0.00391609663914433,0.0165922265065656,0.00877997589126027,44.2792967514809,0.498218690052069,0.768914560364273,0.0527858001138352,0.89069713514767,0.198558087568775,0.956489659970066,0.660243147521889,0.0280278459503392,0.0260564819752525,0.0147977769095099,0.0183825890695625,0.0192839585872808,0.00934920622287756,0,4.20157821116061e-08,NA,0.0741935483870968,7
"13",1200,52965.84470514,81.5,17.0695378949334,72.0480197796679,0.0548190405058238,0.789023314510885,0.150890793311485,1163.2738502331,0,0.487056963396515,5.96173828179148,0.00692201901130252,0.015129997175478,0.00956504636183163,42.9074678697575,0.558398385325458,0.899587426909264,0.059956664984714,0.863524383366478,0.144044403549909,0.931984803063133,0.606916712160476,0.0248063200626843,0.0158036679310429,0.011708361749485,0.0158658043263648,0.0155526199300829,0.0168841221067547,0,1.61768406197163e-10,NA,0.0741935483870968,7
"14",1300,63553.1771594313,434,18.7922635908974,77.9863379460837,0.0119475203643214,0.819316626231686,0.047613884333365,1423.14379222887,0,0.447829672778871,6.6580194553201,0.00255358335555255,0.0119476493999467,0.00562364434699163,44.0573097655074,0.545886119243714,0.754015377459162,0.100008208608094,0.884764823378116,0.229991517771637,0.926888663912223,0.551804974186802,0.0223101587297561,0.0195347842723325,0.0137877651084486,0.0145323580606355,0.0178005736990686,0.0132726777775382,0,3.2219154989378e-05,NA,0.0741935483870968,7
"15",1400,66286.4914603237,521.3,22.9629102489114,92.410281406382,0.0177877428998505,0.812855007473842,0.0639630857217131,1991.08154773045,0,0.556162307112537,6.66634895592541,0.003910891213578,0.0119501765074393,0.00778512722681746,43.7759029494047,0.53283737501725,0.735557200386396,0.146127886991758,0.863883278343014,0.267002044887155,0.939393559232728,0.55370991822638,0.0215754180587303,0.0194734366625418,0.0154406365026569,0.0146403014225981,0.0185730728654248,0.0127418547390403,0,4.79798451189499e-06,NA,0.0741935483870968,7
"16",1500,56357.6439050031,96.9,15.2558512925885,59.9896784058871,0.0278778611363311,0.770248960672815,0.144922826969943,1835.40860659611,0,0.504910808701356,5.98950017087685,0.00496076619870001,0.0180382866873219,0.0128423622290457,44.2764107821778,0.54718270750566,0.788329275065146,0.092079969242599,0.869964543551625,0.169785125379128,0.947904652056901,0.684359741133787,0.0286865953775021,0.0265121763458163,0.0198102340735309,0.0224552269525763,0.0196860093017625,0.0146989216334539,0,1.24681287605867e-13,NA,0.0741935483870968,7
"17",1600,46662.415957299,39.8,10.0627418298708,58.5438617378019,0.0371351469333492,0.775085818600314,0.197104986407921,1530.34467632866,0,0.439478363436754,6.10452395744674,0.00869396932483928,0.0185584870654591,0.0156490883643045,45.1202135493373,0.530375552282769,0.814222596254997,0.0379234167893962,0.857116557963392,0.178150641699979,0.95707973911214,0.849990593067892,0.0331651954749509,0.0257492859538123,0.0105404932101055,0.0230843617574989,0.0235126887324561,0.0113537524034006,0,2.22044604925031e-16,NA,0.0741935483870968,7
"18",1700,54475.0553061224,245.1,14.9433333333333,98.2030952380952,0.0140221088435374,0.737551020408163,0.070187074829932,1582.544078212,0,0.547572455266358,7.34425934884064,0.00309628067574105,0.0172856529334013,0.00775877486910874,43.336243165601,0.576220924844778,0.771012881104624,0.134111759799833,0.82787508108609,0.231396534148828,0.957853767028079,0.671538560799691,0.0272072234653203,0.0236932661418052,0.0199457293465922,0.0225677548499235,0.0222616364348283,0.0102096380198168,0,4.83061325043775e-07,NA,0.0741935483870968,7
"19",1800,54570.4605368719,154.4,15.9177079202899,91.4991285744585,0.0284942319928442,0.773982645260644,0.15953081342272,1679.6939199365,0,0.547388564323714,6.82738646227607,0.00470362368145984,0.0148090605787205,0.0124967917070586,43.4183342697843,0.557029865583265,0.851903876907118,0.0927950901153996,0.865215887971647,0.147620694126291,0.946773566149458,0.665853423650103,0.0270596711871824,0.0206205936914699,0.0165172813973018,0.0188219489624776,0.0188096457207348,0.0155338471582315,0,2.22044604925031e-16,NA,0.0741935483870968,7
"20",1900,61196.5730461643,73.6,18.114797105742,59.1682816400795,0.0591545719967842,0.813091863072822,0.17016883171836,1784.05313277936,0,0.504907785161806,4.55615989711935,0.00655231739171266,0.012005820930969,0.010977606547316,44.7659718593354,0.523640867831775,0.799744527666493,0.140045288277304,0.827459405059126,0.192281638893727,0.96177591979717,0.596760293589893,0.0232036524644329,0.0189836249370287,0.0168985495808136,0.017842374477974,0.017110471967169,0.011197392968073,0,7.57104043112189e-11,NA,0.0741935483870968,7
